CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material;Percentual;PrazoProducao
30.10.10.11.0013;FITA PP AA 40 HA 072X050 - M;50;72;3,6;;2,43483248;Fita PP;33;10
30.10.10.11.0015;FITA PP AA 40 HA 072X100 - M;100;72;7,2;;4,692696624;Fita PP;33;10
30.10.10.11.0016;FITA PP AA 40 HA 072X1200 - M;1200;72;86,4;;54,69058712;Fita PP;33;10
30.10.10.11.0018;FITA PP AA 40 HA 096X100 - M;100;96;9,6;;6,254840832;Fita PP;33;10
30.10.10.11.0019;FITA PP AA 40 HA 144X100 - M;100;144;14,4;;9,005401744;Fita PP;33;10
30.10.10.11.0024;FITA PP AA 40 HA 018X100 - M;100;18;1,8;;1,173174156;Fita PP;33;10
30.10.10.11.0028;FITA PP AA 40 HA 048X090 - M;90;48;4,32;;2,714153134;Fita PP;33;10
30.10.10.11.0038;FITA PP AA 40 HA 036X100 - PERSONALIZADA;100;36;3,6;;2,346348312;Fita PP;33;10
30.10.10.11.0046;FITA PP AA 40 HA 048X050 - PERSONALIZADA;50;48;2,4;;1,559367736;Fita PP;33;10
30.10.10.11.0048;FITA PP AA 40 HA 048X080 - PERSONALIZADA;80;48;3,84;;2,426505687;Fita PP;33;10
30.10.10.11.0057;FITA PP AA 40 HA 072X090 - M;90;72;6,48;;4,242382478;Fita PP;33;10
30.10.10.11.0079;FITA PP AA 40 HA 045X040 - PERSONALIZADA;40;45;1,8;;1,24622142;Fita PP;33;10
30.10.10.11.0081;FITA PP AA 40 HA 024X200 - M ;200;24;4,8;;3,069637047;Fita PP;33;10
30.10.10.11.0084;FITA PP AA 40 HA 144X1200 - M (INV);1200;144;172,8;;103,8115875;Fita PP;33;10
30.10.10.11.0085;FITA PP AA 40 HA 036X050 - PERSONALIZADA;50;36;1,8;;1,21741624;Fita PP;33;10
30.10.10.11.0087;FITA PP AA 40 HA 048X085 - M;85;48;4,08;;2,570329411;Fita PP;33;10
30.10.10.11.0083;FITA PP AA 40 HA 048X085 - PERSONALIZADA;85;48;4,08;;2,570329411;Fita PP;33;10
30.10.10.12.0024;FITA PP AA 40 TR 018X050 - M;50;18;0,9;;0,60870812;Fita PP;33;10
30.10.10.12.0025;FITA PP AA 40 TR 018X100 - M;100;18;1,8;;1,173174156;Fita PP;33;10
30.10.10.12.0026;FITA PP AA 40 TR 024X050 - M;50;24;1,2;;0,811610827;Fita PP;33;10
30.10.10.12.0030;FITA PP AA 40 TR 036X050 - M;50;36;1,8;;1,21741624;Fita PP;33;10
30.10.10.12.0037;FITA PP AA 40 TR 048X030 - M;30;48;1,44;;0,984072841;Fita PP;33;10
30.10.10.12.0038;FITA PP AA 40 TR 048X040 - M;40;48;1,92;;1,271720289;Fita PP;33;10
30.10.10.12.0042;FITA PP AA 40 TR 048X080 - PERSONALIZADA;80;48;3,84;;2,426505687;Fita PP;33;10
30.10.10.12.0043;FITA PP AA 40 TR 048X090 - PERSONALIZADA;90;48;4,32;;2,714153134;Fita PP;33;10
30.10.10.12.0047;FITA PP AA 40 TR 048X1500 - M;1500;48;72;;43,14601318;Fita PP;33;10
30.10.10.12.0053;FITA PP AA 40 TR 072X050 - M;50;72;3,6;;2,43483248;Fita PP;33;10
30.10.10.12.0054;FITA PP AA 40 TR 072X090 - M;90;72;6,48;;4,242382478;Fita PP;33;10
30.10.10.12.0057;FITA PP AA 40 TR 072X1200 - M;1200;72;86,4;;54,69058712;Fita PP;33;10
30.10.10.12.0060;FITA PP AA 40 TR 096X100 - M;100;96;9,6;;6,254840832;Fita PP;33;10
30.10.10.12.0065;FITA PP AA 40 TR 144X100 - M;100;144;14,4;;9,005401744;Fita PP;33;10
