CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material
30.10.10.11.0019;FITA PP AA 40 HA 144X100 - M;100;144;14,4;;7,461549751;Fita PP
30.10.10.11.0024;FITA PP AA 40 HA 018X100 - M;100;18;1,8;;0,980192657;Fita PP
30.10.10.11.0028;FITA PP AA 40 HA 048X090 - M;90;48;4,32;;2,250997536;Fita PP
30.10.10.11.0038;FITA PP AA 40 HA 036X100 - PERSONALIZADA;100;36;3,6;;1,960385314;Fita PP
30.10.10.11.0046;FITA PP AA 40 HA 048X050 - PERSONALIZADA;50;48;2,4;;1,30205907;Fita PP
30.10.10.11.0048;FITA PP AA 40 HA 048X080 - PERSONALIZADA;80;48;3,84;;2,014811822;Fita PP
30.10.10.11.0057;FITA PP AA 40 HA 072X090 - M;90;72;6,48;;3,547649081;Fita PP
30.10.10.11.0079;FITA PP AA 40 HA 045X040 - PERSONALIZADA;40;45;1,8;;1,053239921;Fita PP
30.10.10.11.0081;FITA PP AA 40 HA 024X200 - M ;200;24;4,8;;2,555019715;Fita PP
30.10.10.11.0084;FITA PP AA 40 HA 144X1200 - M (INV);1200;144;172,8;;85,28536353;Fita PP
30.10.10.11.0085;FITA PP AA 40 HA 036X050 - PERSONALIZADA;50;36;1,8;;1,024434741;Fita PP
30.10.10.11.0087;FITA PP AA 40 HA 048X085 - M;85;48;4,08;;2,132904679;Fita PP
30.10.10.11.0083;FITA PP AA 40 HA 048X085 - PERSONALIZADA;85;48;4,08;;2,132904679;Fita PP
30.10.10.12.0024;FITA PP AA 40 TR 018X050 - M;50;18;0,9;;0,51221737;Fita PP
30.10.10.12.0025;FITA PP AA 40 TR 018X100 - M;100;18;1,8;;0,980192657;Fita PP
30.10.10.12.0026;FITA PP AA 40 TR 024X050 - M;50;24;1,2;;0,682956494;Fita PP
30.10.10.12.0030;FITA PP AA 40 TR 036X050 - M;50;36;1,8;;1,024434741;Fita PP
30.10.10.12.0037;FITA PP AA 40 TR 048X030 - M;30;48;1,44;;0,829687642;Fita PP
30.10.10.12.0038;FITA PP AA 40 TR 048X040 - M;40;48;1,92;;1,065873356;Fita PP
30.10.10.12.0042;FITA PP AA 40 TR 048X080 - PERSONALIZADA;80;48;3,84;;2,014811822;Fita PP
30.10.10.12.0043;FITA PP AA 40 TR 048X090 - PERSONALIZADA;90;48;4,32;;2,250997536;Fita PP
30.10.10.12.0047;FITA PP AA 40 TR 048X1500 - M;1500;48;72;;35,42675321;Fita PP
30.10.10.12.0053;FITA PP AA 40 TR 072X050 - M;50;72;3,6;;2,048869481;Fita PP
30.10.10.12.0054;FITA PP AA 40 TR 072X090 - M;90;72;6,48;;3,547649081;Fita PP
30.10.10.12.0057;FITA PP AA 40 TR 072X1200 - M;1200;72;86,4;;45,42747516;Fita PP
30.10.10.12.0060;FITA PP AA 40 TR 096X100 - M;100;96;9,6;;5,22560617;Fita PP
30.10.10.12.0065;FITA PP AA 40 TR 144X100 - M;100;144;14,4;;7,461549751;Fita PP
30.10.10.12.0066;FITA PP AA 40 TR 144X1200 - M;1200;144;172,8;;85,28536353;Fita PP
30.10.10.12.0078;FITA PP AA 40 TR 072X050 - PERSONALIZADA;50;72;3,6;;2,048869481;Fita PP
30.10.10.12.0091;FITA PP AA 40 TR 036X090 - M;90;36;3,24;;1,773824541;Fita PP
30.10.10.12.0101;FITA PP AA 40 TR 024X050 - PERSONALIZADA;50;24;1,2;;0,682956494;Fita PP
30.10.10.12.0102;FITA PP AA 40 TR 024X100 - PERSONALIZADA;100;24;2,4;;1,306923543;Fita PP
30.10.10.12.0105;FITA PP AA 40 TR 036X100 - PERSONALIZADA;100;36;3,6;;1,960385314;Fita PP
30.10.10.12.0108;FITA PP AA 40 TR 048X040 - PERSONALIZADA;40;48;1,92;;1,065873356;Fita PP
30.10.10.12.0110;FITA PP AA 40 TR 048X045 - PERSONALIZADA;45;48;2,16;;1,183966213;Fita PP
30.10.10.12.0111;FITA PP AA 40 TR 048X050 - PERSONALIZADA;50;48;2,4;;1,30205907;Fita PP
30.10.10.12.0128;FITA PP AA 40 TR 072X090 - PERSONALIZADA;90;72;6,48;;3,547649081;Fita PP
30.10.10.12.0139;FITA PP AA 40 TR 045X040 - PERSONALIZADA;40;45;1,8;;1,053239921;Fita PP
30.10.10.12.0140;FITA PP AA 40 TR 045X045 - PERSONALIZADA;45;45;2,025;;1,169840404;Fita PP
30.10.10.12.0141;FITA PP AA 40 TR 045X100 - PERSONALIZADA;100;45;4,5;;2,457335774;Fita PP
30.10.10.12.0161;FITA PP AA 40 TR 024X090 - M;90;24;2,16;;1,182549694;Fita PP
30.10.10.13.0071;FITA PP AR9 45 AM 024X050 - M;50;24;1,2;;0,842434027;Fita PP
30.10.10.13.0073;FITA PP AR9 45 AM 048X050 - M;50;48;2,4;;1,621014136;Fita PP
