CodigoProduto;NomeProduto;Comprimento;FC;FCConvertido;Custo;Material;
30.10.10.12.0106;FITA PP AA 40 TR 018X100 - PERSONALIZADA;100;18; 1,80 ;39,52;Fita PP;
30.10.10.12.0120;FITA PP AA 40 TR 072X100 - PERSONALIZADA;100;72; 7,20 ;2,56;Fita PP;
30.10.10.12.0123;FITA PP AA 40 TR 024X090 - PERSONALIZADA;90;24; 2,16 ;60,46;Fita PP;
30.10.10.12.0130;FITA PP AA 40 TR 012X050 - PERSONALIZADA;50;12; 0,60 ;18,98;Fita PP;
30.10.10.12.0170;FITA PP AA 40 TR 072X085 - PERSONALIZADA;85;72; 6,12 ;151,64;Fita PP;
30.10.10.12.0172;FITA PP AA 40 TR 024X600 - M;600;24; 14,40 ;1,92;Fita PP;
30.10.10.12.0174;FITA PP AA 40 TR 096X090 - PERSONALIZADA;90;96; 8,64 ;1,89;Fita PP;
30.10.10.12.0175;FITA PP AA 40 TR 036X400 - M;400;36; 14,40 ;2,26;Fita PP;
30.10.10.13.0092;FITA PP AR9 45 AM 048X1000 - PERSONALIZADA;1000;48; 48,00 ;4,49;Fita PP;
30.10.10.14.0086;FITA PP AR9 45 AZ 048X1200 - M;1200;48; 57,60 ;15,90;Fita PP;
30.10.10.14.0096;FITA PP AR9 45 AZ 048X080 - PERSONALIZADA;80;48; 3,84 ;195,52;Fita PP;
30.10.10.15.0102;FITA PP AR9 45 BR 048X100 - PERSONALIZADA;100;48; 4,80 ;3,92;Fita PP;
30.10.10.15.0110;FITA PP AR9 45 BR 048X1200 - PERSONALIZADA;1200;48; 57,60 ;2,49;Fita PP;
30.10.10.15.0111;FITA PP AR9 45 BR 072X1200 - PERSONALIZADA;1200;72; 86,40 ;3,55;Fita PP;
30.10.10.15.0114;FITA PP AR9 45 BR 030X1200 - PERSONALIZADA;1200;30; 36,00 ;1,02;Fita PP;
30.10.10.17.0131;FITA PP AR9 45 LJ 024X100 - M;100;24; 2,40 ;9,59;Fita PP;
30.10.10.18.0165;FITA PP AR9 45 TR 072X090 - M;90;72; 6,48 ;0,51;Fita PP;
30.10.10.18.0235;FITA PP AR9 45 TR 048X1000 - PERSONALIZADA;1000;48; 48,00 ;0,98;Fita PP;
30.10.10.18.0276;FITA PP AR9 45 TR 072X090 - PERSONALIZADA;90;72; 6,48 ;3,92;Fita PP;
30.10.10.19.0212;FITA PP AR9 45 VD 048X040 - PERSONALIZADA;40;48; 1,92 ;1,18;Fita PP;
30.10.10.21.0221;FITA PP AR9 45 VM 048X040 - PERSONALIZADA;40;48; 1,92 ;0,34;Fita PP;
30.10.10.21.0222;FITA PP AR9 45 VM 048X080 - PERSONALIZADA;80;48; 3,84 ;3,36;Fita PP;
30.10.20.13.0294;FITA PP AS 50 TR 048X100 - PERSONALIZADA;100;48; 4,80 ;7,56;Fita PP;
30.10.30.12.0023;FITA PP HM 40 HA 144X1200 - M;1200;144; 172,80 ;4,73;Fita PP;
30.10.30.13.0124;FITA PP HM 40 TR 048X090 - PERSONALIZADA;90;48; 4,32 ;7,61;Fita PP;
30.10.10.11.0042;FITA PP AA 40 HA 048X040 - PERSONALIZADA;40;48; 1,92 ;30,14;Fita PP;
30.10.10.11.0095;FITA PP AA 40 HA 288X1200 - M;1200;288; 345,60 ;36,08;Fita PP;
30.10.10.12.0069;FITA PP AA 40 TR 192X1200 - M;1200;192; 230,40 ;2,53;Fita PP;
30.10.10.13.0078;FITA PP AR9 45 AM 048X1200 - M;1200;48; 57,60 ;3,13;Fita PP;
30.10.10.15.0113;FITA PP AR9 45 BR 096X600 - M;600;96; 57,60 ;36,08;Fita PP;
30.10.10.16.0093;FITA PP AR9 45 HA 024X050 - M;50;24; 1,20 ;56,91;Fita PP;
30.10.10.16.0100;FITA PP AR9 45 HA 048X045 - PERSONALIZADA;45;48; 2,16 ;23,77;Fita PP;
30.10.10.16.0107;FITA PP AR9 45 HA 048X1200 - M;1200;48; 57,60 ;1,63;Fita PP;
30.10.10.16.0111;FITA PP AR9 45 HA 072X1200 - M;1200;72; 86,40 ;4,02;Fita PP;
30.10.10.17.0132;FITA PP AR9 45 LJ 072X1200 - M;1200;72; 86,40 ;27,23;Fita PP;
30.10.10.18.0189;FITA PP AR9 45 TR 192X1200 - M;1200;192; 230,40 ;4,02;Fita PP;
30.10.10.18.0277;FITA PP AR9 45 TR 024X600 - M;600;24; 14,40 ;1,32;Fita PP;
30.10.10.21.0224;FITA PP AR9 45 VM 072X1200 - M;1200;72; 86,40 ;1,32;Fita PP;
30.10.30.13.0149;FITA PP HM 40 TR 072X090 - M;90;72; 6,48 ;2,53;Fita PP;
30.10.71.01.0003;FITA PP BRC 50 TR 072X100 - M;100;72; 7,20 ;4,41;Fita PP;
30.10.71.01.0004;FITA PP BRC 50 TR 072X1200 - M;1200;72; 86,40 ;142,00;Fita PP;
30.10.10.12.0154;FITA PP AA 40 TR 012X200 - M;200;12; 2,40 ;3,67;Fita PP;
30.10.10.21.0202;FITA PP AR9 45 VM 024X050 - M;50;24; 1,20 ;1,07;Fita PP;
30.10.10.12.0154;FITA PP AA 40 TR 012X200 - M;200;12; 2,40 ;170,57;Fita PP;
30.10.10.12.0173;FITA PP AA 40 TR 120X500 - M;500;120; 60,00 ;121,57;Fita PP;
30.10.10.13.0075;FITA PP AR9 45 AM 072X1200 - M;1200;72; 86,40 ;36,52;Fita PP;
30.10.10.14.0097;FITA PP AR9 45 AZ 072X1200 - M;1200;72; 86,40 ;38,11;Fita PP;
30.10.10.15.0089;FITA PP AR9 45 BR 072X1200 - M;1200;72; 86,40 ;0,77;Fita PP;
30.10.10.15.0108;FITA PP AR9 45 BR 168X1200 - M;1200;168; 201,60 ;1,34;Fita PP;
30.10.10.21.0202;FITA PP AR9 45 VM 024X050 - M;50;24; 1,20 ;32,59;Fita PP;
30.10.10.21.0223;FITA PP AR9 45 VM 036X1200 - M;1200;36; 43,20 ;51,67;Fita PP;
30.10.10.12.0070;FITA PP AA 40 TR 288X1200 - M;1200;288; 345,60 ;56,91;Fita PP;
30.10.30.16.0075;FITA PP HM 45 TR 072X100 - PERSONALIZADA;100;72; 7,20 ;138,20;Fita PP;
20.10.10.20.0022;JUMBINHO FITA PP (LJ) 144X1200 AR9 45 ;1200;144; 172,80 ;8,60;Fita PP;
20.10.10.20.0023;JUMBINHO FITA PP (VD) 144X1200 AR9 45 ;1200;144; 172,80 ;56,91;Fita PP;
20.10.10.20.0024;JUMBINHO FITA PP (VM) 144X1200 AR9 45 ;1200;144; 172,80 ;5,67;Fita PP;
20.10.10.61.0007;JUMBINHO FITA PP (HA) 144X1200-HOT MELT 45;1200;144; 172,80 ;6,93;Fita PP;
30.10.10.12.0182;FITA PP AA 40 TR 048X095 - PERSONALIZADA;95;48; 4,56 ;81,54;Fita PP;
30.10.30.12.0125;FITA PP HM 40 HA 048X080 - M;80;48; 3,84 ;1,28;Fita PP;
30.10.71.01.0005;FITA PP BRC 50 TR 048X1200 - M;1200;48; 57,60 ;0,84;Fita PP;
60.13.01.01.0004;FITA PP AA 40 TR 048X100 MANAUS;100;48; 4,80 ;1,28;Fita PP;
30.10.10.12.0023;FITA PP AA 40 TR 018X045 - M;45;18; 0,81 ;30,47;Fita PP;
30.10.30.18.0001;FITA PP HM 45 VM 048X1200 - M;1200;48; 57,60 ;56,91;Fita PP;
60.13.01.02.0004;FITA PP AR9 45 TR 048X100 MANAUS;100;48; 4,80 ;56,91;Fita PP;
60.13.01.02.0002;FITA PP AR9 45 TR 048X1200 MANAUS;1200;48; 57,60 ;56,91;Fita PP;
30.10.30.14.0098;FITA PP HM 45 VM 048X100 - M;100;48; 4,80 ;132,79;Fita PP;
60.13.01.01.0017;FITA PP AA 40 TR 048X100 - PERSONALIZADA;100;48; 4,80 ;0,84;Fita PP;
60.13.01.03.0002;FITA PP AA 40 HA 048X080 MANAUS;80;48; 3,84 ;28,45;Fita PP;
30.10.30.18.0003;FITA PP HM 45 VM 048X050 - M;50;48; 2,40 ;170,57;Fita PP;
60.13.01.01.0001;FITA PP AA 40 TR 048X045 MANAUS;45;48; 2,16 ;6,79;Fita PP;
30.10.30.12.0015;FITA PP HM 40 HA 048X090 - M;90;48; 4,32 ;108,25;Fita PP;
60.13.01.01.0002;FITA PP AA 40 TR 048X050 MANAUS;50;48; 2,40 ;108,25;Fita PP;
30.10.30.13.0146;FITA PP HM 40 TR 048X1200 - PERSONALIZADA;1200;48; 57,60 ;108,25;Fita PP;
60.13.01.01.0016;FITA PP AA 40 TR 048X050 - PERSONALIZADA;50;48; 2,40 ;154,23;Fita PP;
60.13.01.03.0006;FITA PP AA 40 HA 048X040 - MANAUS;40;48; 1,92 ;2,37;Fita PP;
30.10.10.21.0225;FITA PP AR9 45 VM 072X100 - M;100;72; 7,20 ;3,28;Fita PP;
30.10.10.13.0094;FITA PP AR9 45 AM 072X100 - M;100;72; 7,20 ;52,50;Fita PP;
30.10.10.15.0115;FITA PP AR9 45 BR 120X600 - M;600;120; 72,00 ;2,34;Fita PP revenda;
60.13.01.02.0010;FITA PP AR9 45 TR 048X100 - PERSONALIZADA;100;48; 4,80 ;0,47;Fita PP;
60.13.01.03.0007;FITA PP AA 40 HA 048X045 PERSONALIZADA;45;48; 2,16 ;56,30;Fita PP;
60.13.01.03.0008;FITA PP AA 40 HA 048X100 PERSONALIZADA;100;48; 4,80 ;2,66;Fita PP revenda;
30.10.30.14.0099;FITA PP HM 45 VM 024X100 - M;100;24; 2,40 ;30,63;Fita PP revenda;
30.10.10.12.0176;FITA PP AA 40 TR 012X040 - M;40;12; 0,48 ;4,81;Fita PP;
60.13.02.01.0006;FITA PP HM 40 TR 048X1200 MANAUS;1200;48; 57,60 ;2,34;Fita PP revenda;
60.13.01.01.0015;FITA PP AA 40 TR 144x1200 MANAUS;1200;144; 172,80 ;1,89;Fita PP revenda;
30.10.10.12.0115;FITA PP AA 40 TR 048X1200 - PERSONALIZADA;1200;48; 57,60 ;2,46;Fita PP;
60.13.01.02.0009;FITA PP AR9 45 TR 144X1200 MANAUS;1200;144; 172,80 ;1,11;Fita PP revenda;
60.13.01.01.0010;FITA PP AA 40 TR 048X090 MANAUS;90;48; 4,32 ;3,67;Fita PP;
30.10.10.15.0116;FITA PP AR9 45 TR 096X600 - M;600;96; 57,60 ;1,22;Fita PP revenda;
30.10.10.15.0117;FITA PP AR9 45 TR 120X600 - M;600;120; 72,00 ;47,33;Fita PP;
30.10.30.16.0076;FITA PP HM 45 TR 288X1200 - M;1200;288; 345,60 ;1,22;Fita PP revenda;
60.13.01.02.0007;FITA PP AR9 45 TR 048X050 MANAUS;50;48; 2,40 ;1,00;Fita PP revenda;
30.10.10.18.0280;FITA PP AR9 45 TR 048X914 - M;914;48; 43,87 ;4,88;Fita PP;
30.10.30.12.0127;FITA PP HM 40 HA 024X100 - M;100;24; 2,40 ;4,88;Fita PP;
60.13.01.01.0012;FITA PP AA 40 TR 048X1200 MANAUS;1200;48; 57,60 ;45,87;Fita PP;
60.13.01.03.0003;FITA PP AA 40 HA 048X100 MANAUS;100;48; 4,80 ;2,66;Fita PP revenda;
30.10.10.16.0130;FITA PP AR9 45 HA 048X050 - PERSONALIZADA;50;48; 2,40 ;1,11;Fita PP revenda;
30.10.10.16.0137;FITA PP AR9 45 HA 048X100 - PERSONALIZADA;100;48; 4,80 ;2,34;Fita PP revenda;
30.10.10.18.0274;FITA PP AR9 45 TR 048X1100 - PERSONALIZADA;1100;48; 52,80 ;2,47;Fita PP;
30.10.30.13.0148;FITA PP HM 40 TR 048X080 - PERSONALIZADA;80;48; 3,84 ;0,28;Fita PP;
30.10.10.18.0152;FITA PP AR9 45 TR 048X1100 - M;1100;48; 52,80 ;44,49;Fita PP revenda;
20.20.10.10.0002;JUMBO 23 ATX(250) STRETCH FILME;KG;Bruto;1,7;80,17;Fita PP revenda;
20.20.10.10.0003;JUMBO 23 ATX(250) PLUS;KG;Bruto;1,7;28,43;Fita PP;
20.20.10.11.0003;JUMBO 19 ATX(250) STRETCH FILME;KG;Bruto;1,7;91,90;Fita PP revenda;
20.20.10.12.0004;JUMBO 30  ATX(250) STRETCH FILME;KG;Bruto;1,7;2,12;Fita PP revenda;
20.20.10.13.0005;JUMBO 17 ATX(250) STRETCH FILME;KG;Bruto;1,7;34,77;Fita PP;
20.20.10.14.0006;JUMBO15 ATX(250) STRETCH FILME;KG;Bruto;1,7;41,50;Fita PP;
20.20.50.10.0002;JUMBO 15 MANUSTIF  500 MM;KG;Bruto;1,7;308,46;Fita PP;
20.20.40.11.0008;JUMBO 17 LC3(150) STRETCH FILME;KG;Bruto;1,7;1,39;Fita PP revenda;
20.20.40.16.01;JUMBO 15 LC3(150) STRETCH FILME;KG;Bruto;1,7;24,92;Fita PP;
20.20.40.12.0006;JUMBO 19 LC3(150) STRETCH FILME;KG;Bruto;1,7;2,09;Fita PP;
20.20.40.13.0003;JUMBO 23 LC3(150) STRETCH FILME;KG;Bruto;1,7;26,72;Fita PP revenda;
20.20.40.13.0009;JUMBO 25 LC3(150) STRETCH FILME;KG;Bruto;1,7;2,34;Fita PP revenda;
20.20.40.13.0008;JUMBO 23 LC3(150) STRETCH FILME 55 KG;KG;Bruto;1,7;1,18;Fita PP;
20.20.40.14.0005;JUMBO 30 LC3(150) STRETCH FILME;KG;Bruto;1,7;108,25;Fita PP;
20.20.40.15.0003;JUMBO 40 LC3(150) STRETCH FILME;KG;Bruto;1,7;0,62;Fita PP;
20.20.60.10.0001;JUMBO 23 AT(200) STRETCH FILME;KG;Bruto;1,7;2,49;Fita PP;
20.20.60.10.0002;JUMBO 19 AT(200) STRETCH FILME;KG;Bruto;1,7;4,40;Fita PP;
20.20.60.10.0003;JUMBO 30 AT(200) STRETCH FILME;KG;Bruto;1,7;1,30;Fita PP;
30.20.10.14.0085;"STRETCH FIL. 3""500X13 MANUSTIF LEV";KG;Bruto;0,6;1,07;Fita PP;
30.20.10.14.0091;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (2,5KG)";KG;Bruto;0,6;1,30;Fita PP;
30.20.10.14.0092;"STRETCH FIL. 3""500X13 MANUSTIF LEV LÍQUIDO";KG;Liq;0,6;4,06;Fita PP;
30.20.10.14.0094;"STRETCH FIL. 3""500X13 MANUSTIF GOLD (5KG)";KG;Bruto;1,1;2,83;Fita PP;
30.20.10.14.0095;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (5KG)";KG;Bruto;0,9;2,49;Fita PP;
30.20.10.14.0096;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (5KG) LIQ";KG;Liq;0,9;47,33;Fita PP;
30.20.10.14.0097;"STRETCH FIL. 3""500X13 MANUSTIF MAQ (11KG)";KG;Bruto;1,47;28,43;Fita PP;
30.20.10.14.0098;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (3KG) LIQ";KG;Liq;0,6;51,48;Fita PP;
30.20.10.14.0099;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (5KG) LIQUIDO/NETO";KG;Neto;0,9;32,59;Fita PP;
30.20.10.14.0100;"STRETCH FIL. 3""430X10 MANUPREST SLIM  (3KG) LIQUIDO/NETO";KG;Neto;0,6;2,25;Fita PP;
30.20.10.14.0101;"STRETCH FIL. 3""450X12 MANUSTIF PLUS LEV (2,5KG)";KG;Bruto;0,6;154,43;Fita PP;
30.20.10.16.0069;"STRETCH FIL. 3""500X23 MAN ESPECIAL LC2";KG;Bruto;1,47;97,76;Fita PP;
30.20.10.16.0999;"STRETCH FIL. 3""500 MAN ESPECIAL LC2";KG;Bruto;1,47;4,41;Fita PP;
30.20.10.19.0035;"STRETCH FIL. 3""500X17 MAQ ATX/11";KG;Bruto;1,47;51,41;Fita PP;
30.20.10.19.0037;"STRETCH FIL. 3""500X19 MAQ ATX/11";KG;Bruto;1,47;1,48;Fita PP;
30.20.10.19.0039;"STRETCH FIL. 3""500X23 MAQ ATX/11";KG;Bruto;1,47;2,09;Fita PP;
30.20.10.19.0041;"STRETCH FIL. 3""500X30 MAQ ATX/11";KG;Bruto;1,47;2,26;Fita PP;
30.20.10.19.0043;"STRETCH FIL. 3""500X40 MAQ ATX/11";KG;Bruto;1,47;1,18;Fita PP;
30.20.10.20.0001;"STRETCH FIL. 3""500X23 MAQ LC3/8";KG;Bruto;1,47;2,49;Fita PP;
30.20.10.20.0002;"STRETCH FIL. 3""500X30 MAQ LC3/8";KG;Bruto;1,47;1,30;Fita PP;
30.20.10.20.0003;"STRETCH FIL. 3""500X17 MAQ LC3/8";KG;Bruto;1,47;3,82;Fita PP revenda;
30.20.10.20.0004;"STRETCH FIL. 3""500X19 MAQ LC3/8";KG;Bruto;1,47;97,76;Fita PP;
30.20.10.22.0034;"STRETCH FIL. 3""500X17 MAQ LC3/11";KG;Bruto;1,47;3,17;Fita PP;
30.20.10.22.0036;"STRETCH FIL. 3""500X19 MAQ LC3/11";KG;Bruto;1,47;2,83;Fita PP;
30.20.10.22.0038;"STRETCH FIL. 3""500X23 MAQ LC3/11";KG;Bruto;1,47;2,01;Fita PP;
30.20.10.22.0040;"STRETCH FIL. 3""500X30 MAQ LC3/11";KG;Bruto;1,47;85,29;Fita PP;
30.20.10.22.0042;"STRETCH FIL. 3""500X40 MAQ LC3/11";KG;Bruto;1,47;2,25;Fita PP;
30.20.10.22.0049;"STRETCH FIL. 3""500X40 MAQ LC3/8";KG;Bruto;1,47;1,07;Fita PP;
30.20.10.23.0001;"STRETCH FIL. 3""500X17 MAQ ATX/8";KG;Bruto;1,47;1,34;Fita PP;
30.20.10.23.0002;"STRETCH FIL. 3""500X19 MAQ ATX/8";KG;Bruto;1,47;2,83;Fita PP;
30.20.10.23.0003;"STRETCH FIL. 3""500X23 MAQ ATX/8";KG;Bruto;1,47;154,23;Fita PP;
30.20.10.23.0004;"STRETCH FIL. 3""500X30 MAQ ATX/8";KG;Bruto;1,47;4,07;Fita IMP;
30.20.10.23.0006;"STRETCH FIL. 3""500X40 MAQ ATX/8";KG;Bruto;1,47;2,36;Fita IMP;
30.20.10.25.0041;"STRETCH FIL. 3""150X19 CORTADO MAQ (3,3 KG)";KG;Bruto;0,36;3,53;Fita IMP;
30.20.10.25.0042;"STRETCH FIL. 3""150X23 CORTADO MAQ (3,3 KG)";KG;Bruto;0,36;4,71;Fita IMP;
30.20.10.25.0043;"STRETCH FIL. 3""100X23 CORTADO (MAQ)";KG;Bruto;0,24;55,44;Fita IMP;
30.20.10.25.0045;"STRETCH FIL. 3""166X23 CORTADO MAQ (3,3 KG) ";KG;Bruto;0,4;7,07;Fita IMP;
30.20.10.29.0002;"STRETCH FIL. 3""500X17 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;9,42;Fita IMP;
30.20.10.29.0003;"STRETCH FIL. 3""500X19 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;3,53;Fita IMP;
30.20.10.29.0004;"STRETCH FIL. 3""500X23 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;4,71;Fita IMP;
30.20.10.29.0005;"STRETCH FIL. 3""500X30 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;55,44;Fita IMP;
30.20.10.29.0006;"STRETCH FIL. 3""500X40 MAQ LC3/14 LÍQUIDO";KG;Liq;1,47;7,07;Fita IMP;
30.20.10.31.0001;"STRETCH FIL. 3""500X15 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;2,36;Fita IMP;
30.20.10.31.0002;"STRETCH FIL. 3""500X17 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;3,53;Fita IMP;
30.20.10.31.0003;"STRETCH FIL. 3""500X19 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;2,41;Fita IMP;
30.20.10.31.0004;"STRETCH FIL. 3""500X23 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;4,25;Fita IMP;
30.20.10.31.0005;"STRETCH FIL. 3""500X30 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;4,71;Fita IMP;
30.20.10.31.0006;"STRETCH FIL. 3""500X40 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;55,44;Fita IMP;
30.20.10.31.0008;"STRETCH FIL. 3""500X30 MAQ ATX/14 LÍQ/NETO";KG;Neto;1,47;6,38;Fita IMP;
30.20.10.31.0009;"STRETCH FIL. 3""500X23 MAQ ATX/14 LÍQ/NETO";KG;Neto;1,47;7,07;Fita IMP;
30.20.10.31.0010;"STRETCH FIL. 3""500X13 MAQ ATX/14 LÍQUIDO";KG;Liq;1,47;83,17;Fita IMP;
30.20.10.31.0011;"STRETCH FIL. 3""500X17 MAQ ATX/14 LÍQ/NETO";KG;Neto;1,47;9,42;Fita IMP;
30.20.10.38.0001;"STRETCH FIL. 3""500X23 MAN LEV LIQ/NETO";KG;Neto;0,6;14,13;Fita IMP;
30.20.10.38.0002;"STRETCH FIL. 3""500X19 MAN LEV LIQ/NETO";KG;Neto;0,6;2,27;Fita IMP;
30.20.10.38.0003;"STRETCH FIL. 3""500X30 MAN LEV LIQ/NETO";KG;Neto;0,6;4,42;Fita IMP;
30.20.10.39.0002;"STRETCH FIL. 3""500X19 MAQ ATX/16 LIQ/NETO";KG;Neto;1,47;51,95;Fita IMP;
30.20.10.43.0001;"STRETCH FIL 3"" 500X19 MAQ LC3 CORELESS (8KG)";KG;Bruto;0;5,98;Fita IMP;
30.20.10.43.0002;"STRETCH FIL 3"" 500X23 MAQ LC3 CORELESS (8KG)";KG;Bruto;0;6,63;Fita IMP;
30.20.10.43.0003;"STRETCH FIL 3"" 500X30 MAQ LC3 CORELESS (8KG)";KG;Bruto;0;4,71;Fita IMP;
30.20.10.45.0001;"STRETCH FIL. 3""750X23 MAQ ATX/21,3";KG;Bruto;2,4;55,44;Fita IMP;
30.20.10.45.0002;"STRETCH FIL. 3""750X23 MAQ ATX/21,3 LIQUIDO";KG;Liq;2,4;7,07;Fita IMP;
30.20.10.45.0003;"STRETCH FIL. 3""750X30 MAQ ATX/21,3";KG;Bruto;2,4;83,17;Fita IMP;
30.20.10.47.0001;"STRETCH FIL. 3""500X17 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;2,21;Fita IMP;
30.20.10.47.0002;"STRETCH FIL. 3""500X30 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;2,27;Fita IMP;
30.20.10.47.0003;"STRETCH FIL. 3""500X23 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;4,42;Fita IMP;
30.20.10.47.0004;"STRETCH FIL. 3""500X40 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;51,95;Fita IMP;
30.20.10.47.0005;"STRETCH FIL. 3""500X19 MAQ LC3/14 LÍQ/NETO";KG;Neto;1,47;5,98;Fita IMP;
30.20.10.49.0001;"STRETCH FIL. 2""500X17 MANUAL LC3";KG;Bruto;0,4;6,63;Fita IMP;
30.20.10.49.0003;"STRETCH FIL. 2""500X23 MANUAL LC3";KG;Bruto;0,4;77,92;Fita IMP;
30.20.10.49.0005;"STRETCH FIL. 2""500X19 MANUAL  LC3 1,5KG EXPO";KG;Bruto;0,4;4,71;Fita IMP;
30.20.10.50.0001;"STRETCH FIL 3"" 500X19 MAN CORELESS LC3";KG;Bruto;0;55,44;Fita IMP;
30.20.10.50.0004;"STRETCH FIL 3"" 500X17 MAN CORELESS LC3";KG;Bruto;0;7,07;Fita IMP;
30.20.10.50.0002;"STRETCH FIL 3"" 500X23 MAN CORELESS LC3";KG;Bruto;0;3,53;Fita IMP;
30.20.10.50.0009;"STRETCH FIL 3"" 450X10 PREESTIRADO CORELESS LC3 2KG";KG;Bruto;0;4,71;Fita IMP;
30.20.10.50.0003;"STRETCH FIL 3"" 500X30 MAN CORELESS LC3";KG;Bruto;0;55,44;Fita IMP;
30.20.10.51.0001;"STRETCH FIL. 2""166X30 CORTADO LC3";KG;Bruto;0,13;7,07;Fita IMP;
30.20.10.51.0002;"STRETCH FIL. 2""100X23 CORTADO LC3";KG;Bruto;0,1;2,10;Fita IMP;
30.20.10.52.0001;"STRETCH FIL. 3""100X23 CORTADO (MAN) LC3";KG;Bruto;0,24;1,95;Fita IMP;
30.20.10.52.0003;"STRETCH FIL. 3""150X23 CORTADO (MAN) LC3";KG;Bruto;0,36;1,95;Fita IMP;
30.20.10.52.0004;"STRETCH FIL. 3""150X30 CORTADO (MAN) LC3";KG;Bruto;0,36;4,08;Fita IMP;
30.20.10.52.0002;"STRETCH FIL. 3""150X19 CORTADO (MAN) LC3";KG;Bruto;0,36;3,78;Fita IMP;
30.20.10.52.0006;"STRETCH FIL. 3""200X23 CORTADO (MAN) LC3";KG;Bruto;0,48;3,78;Fita IMP;
30.20.10.52.0007;"STRETCH FIL. 3""200X30 CORTADO (MAN) LC3";KG;Bruto;0,48;3,78;Fita IMP;
30.20.10.52.0008;"STRETCH FIL. 3""250X23 CORTADO (MAN) LC3";KG;Bruto;0,6;5,76;Fita IMP;
30.20.10.52.0023;"STRETCH FIL. 3""250X23 CORTADO (MAN) LC3 - AZUL";KG;Bruto;0,6;2,94;Fita IMP;
30.20.10.52.0009;"STRETCH FIL. 3""250X30 CORTADO (MAN) LC3";KG;Bruto;0,6;5,76;Fita IMP;
30.20.10.52.0012;"STRETCH FIL. 3""050X23 CORTADO (MAN) LC3";KG;Bruto;0,12;2,68;Fita IMP;
30.20.10.52.0017;"STRETCH FIL. 3""050X40 CORTADO (MAN) LC3";KG;Bruto;0,12;4,02;Fita IMP;
30.20.10.52.0013;"STRETCH FIL. 3""050X30 CORTADO (MAN) LC3";KG;Bruto;0,12;2,74;Fita IMP;
30.20.10.52.0014;"STRETCH FIL. 3""075X23 CORTADO (MAN) LC3";KG;Bruto;0,18;5,36;Fita IMP;
30.20.10.52.0019;"STRETCH FIL. 3""100X30 CORTADO (MAN) LC3";KG;Bruto;0,24;52,76;Fita IMP;
30.20.10.52.0020;"STRETCH FIL. 3""250X23 CORTADO (MAN) LC3 5KG";KG;Bruto;0,6;63,23;Fita IMP;
30.20.10.54.0001;"STRETCH FIL. 3""500X19 MAN GOLD LIQ C/ RET LC3";KG;Liq;1,1;4,11;Fita IMP;
30.20.10.55.0001;"STRETCH FIL. 3""500X17 MAN LEV LIQUIDO LC3";KG;Liq;0,6;8,04;Fita IMP;
30.20.10.55.0002;"STRETCH FIL. 3""500X19 MAN LEV LIQUIDO LC3";KG;Liq;0,6;94,84;Fita IMP;
30.20.10.55.0003;"STRETCH FIL. 3""500X23 MAN LEV LIQUIDO LC3";KG;Liq;0,6;10,72;Fita IMP;
30.20.10.55.0004;"STRETCH FIL. 3""500X30 MAN LEV LIQUIDO LC3";KG;Liq;0,6;66,69;Fita IMP;
30.20.10.55.0005;"STRETCH FIL. 3""500X15 MAN LEV LIQUIDO LC3";KG;Liq;0,6;4,80;Fita IMP;
30.20.10.55.0006;"STRETCH FIL. 3""500X25 MAN LEV LIQUIDO LC3";KG;Liq;0,6;3,26;Fita IMP;
30.20.10.55.0008;"STRETCH FIL. 3""500X40 MAN LEV LIQUIDO LC3";KG;Liq;0,6;5,77;Fita IMP;
30.20.10.56.0001;"STRETCH FIL. 3""500X17 MAN ESPECIAL LC3";KG;Bruto;1,47;6,39;Fita IMP;
30.20.10.56.0002;"STRETCH FIL. 3""500X19 MAN ESPECIAL LC3";KG;Bruto;1,47;75,66;Fita IMP;
30.20.10.56.0003;"STRETCH FIL. 3""500X23 MAN ESPECIAL LC3";KG;Bruto;1,47;9,59;Fita IMP;
30.20.10.56.0005;"STRETCH FIL. 3""500X23  MAN ESPECIAL - 3,8 KG LC3";KG;Bruto;1,47;113,49;Fita IMP;
30.20.10.56.0006;"STRETCH FIL. 3""500X40 MAN ESPECIAL LC3";KG;Bruto;1,47;12,79;Fita IMP;
